x,y,collision
-6.16098,-6.99514,0
-6.18284,-6.95711,0
-6.20438,-6.91861,0
-6.22828,-6.87572,0
-6.24914,-6.83780,0
-6.27100,-6.79697,0
-6.29462,-6.74843,0
-6.31676,-6.69970,0
-6.33927,-6.64728,0
-6.35912,-6.59958,0
-6.37850,-6.55084,0
-6.39763,-6.50178,0
-6.41307,-6.46051,0
-6.42999,-6.41251,0
-6.44663,-6.36706,0
-6.46487,-6.32115,0
-6.48265,-6.27422,0
-6.50140,-6.22233,0
-6.51765,-6.17405,0
-6.53213,-6.13078,0
-6.54910,-6.08123,0
-6.56465,-6.03480,0
-6.58040,-5.98913,0
-6.59581,-5.94383,0
-6.61158,-5.89751,0
-6.62783,-5.84981,0
-6.64368,-5.80186,0
-6.65865,-5.75220,0
-6.67531,-5.70162,0
-6.69215,-5.64811,0
-6.70847,-5.59629,0
-6.72409,-5.54750,0
-6.74118,-5.49294,0
-6.75799,-5.43521,0
-6.77301,-5.38305,0
-6.78864,-5.32924,0
-6.80299,-5.27907,0
-6.81710,-5.22931,0
-6.83165,-5.17946,0
-6.84640,-5.12984,0
-6.86056,-5.08311,0
-6.87416,-5.03788,0
-6.88804,-4.99277,0
-6.90272,-4.94771,0
-6.91790,-4.90226,0
-6.92898,-4.86819,0
-6.94397,-4.82216,0
-6.95749,-4.78177,0
-6.97069,-4.74345,0
-6.98331,-4.70696,0
-6.99855,-4.66317,0
-7.01105,-4.62448,0
-7.02461,-4.58214,0
-7.03866,-4.53863,0
-7.05334,-4.49412,0
-7.06791,-4.44923,0
-7.08266,-4.40364,0
-7.09908,-4.35398,0
-7.11710,-4.30076,0
-7.13300,-4.25455,0
-7.15047,-4.20378,0
-7.16769,-4.15323,0
-7.18352,-4.10709,0
-7.20153,-4.05657,0
-7.21708,-4.01267,0
-7.23378,-3.96643,0
-7.25319,-3.91569,0
-7.27435,-3.86084,0
-7.29514,-3.81030,0
-7.31838,-3.75547,0
-7.34099,-3.70378,0
-7.36210,-3.65619,0
-7.38460,-3.60619,0
-7.40731,-3.55762,0
-7.42985,-3.51100,0
-7.45317,-3.46472,0
-7.48008,-3.41049,0
